rep,Time_min,cellconc,OD600,Time_hrs
rep1,22,NA,NA,0.366666667
rep2,23,NA,NA,0.383333333
rep1,125,NA,NA,2.083333333
rep2,125,NA,NA,2.083333333
rep1,199,NA,NA,3.316666667
rep2,199,NA,NA,3.316666667
rep1,239,NA,0.01743,3.983333333
rep2,239,NA,0.02924,3.983333333
rep1,273,NA,0.04627,4.55
rep2,274,NA,0.07605,4.566666667
rep1,295,NA,0.08417,4.916666667
rep2,296,NA,0.13306,4.933333333
rep1,314,NA,0.13871,5.233333333
rep2,314,NA,0.19788,5.233333333
rep1,336,NA,0.20619,5.6
rep2,337,NA,0.24651,5.616666667
rep1,422,NA,0.65963,7.033333333
rep2,422,NA,0.75403,7.033333333
rep1,423,NA,0.7834,7.05
rep2,424,NA,0.904,7.066666667
rep1,15,442818.662,NA,0.25
rep1,40,458196.6601,NA,0.666666667
rep1,70,468267.9825,NA,1.166666667
rep1,97,423238.8864,NA,1.616666667
rep1,128,397200.6225,NA,2.133333333
rep1,160,501845.4174,NA,2.666666667
rep1,189,822739.0419,NA,3.15
rep1,220,1625063.221,NA,3.666666667
rep1,250,4021781.239,NA,4.166666667
rep1,279,8342853.775,NA,4.65
rep1,310,19575800.47,NA,5.166666667
rep2,15,455594.6742,NA,0.25
rep2,40,460938.3006,NA,0.666666667
rep2,70,492067.3737,NA,1.166666667
rep2,97,371177.5596,NA,1.616666667
rep2,128,396509.544,NA,2.133333333
rep2,160,644670.9657,NA,2.666666667
rep2,189,961298.4063,NA,3.15
rep2,220,2844156.865,NA,3.666666667
rep2,250,6617858.96,NA,4.166666667
rep2,279,13560276.4,NA,4.65
rep2,310,28157114.25,NA,5.166666667
