rep,Time_min,cellconc,OD600,Time_hrs
rep1,108,NA,0.01224,1.8
rep1,124,NA,0.01659,2.066666667
rep2,124,NA,0.01285,2.066666667
rep1,149,NA,0.02677,2.483333333
rep2,149,NA,0.02454,2.483333333
rep1,168,NA,0.04025,2.8
rep2,168,NA,0.03932,2.8
rep1,180,NA,0.06019,3
rep2,181,NA,0.05337,3.016666667
rep1,198,NA,0.10192,3.3
rep2,198,NA,0.08617,3.3
rep1,216,NA,0.14255,3.6
rep2,216,NA,0.13627,3.6
rep1,240,NA,0.26859,4
rep2,241,NA,0.25771,4.016666667
rep1,284,NA,0.9559,4.733333333
rep2,286,NA,0.9288,4.766666667
rep1,301,NA,1.4589,5.016666667
rep2,302,NA,1.3789,5.033333333
rep1,318,NA,1.9095,5.3
rep2,319,NA,1.6655,5.316666667
rep1,336,NA,2.1156,5.6
rep2,336,NA,2.0736,5.6
rep1,347,NA,2.2863,5.783333333
rep2,348,NA,2.1518,5.8
rep1,1399,NA,3.9193,23.31666667
rep2,1400,NA,4.1697,23.33333333
rep1,2,7941572.165,NA,0.033333333
rep1,36,7690710.613,NA,0.6
rep1,61,8567480.699,NA,1.016666667
rep1,90,8008911.249,NA,1.5
rep1,124,8404518.015,NA,2.066666667
rep1,151,10793359.43,NA,2.516666667
rep1,183,20256424.05,NA,3.05
rep1,215,54988261.93,NA,3.583333333
rep1,243,128665476.7,NA,4.05
rep1,281,381771629.9,NA,4.683333333
rep2,2,7866303.953,NA,0.033333333
rep2,36,7556926.724,NA,0.6
rep2,61,7449990.655,NA,1.016666667
rep2,90,7215552.677,NA,1.5
rep2,124,7703090.609,NA,2.066666667
rep2,151,10330193.52,NA,2.516666667
rep2,183,19049433.59,NA,3.05
rep2,215,50965226.11,NA,3.583333333
rep2,243,113327161.9,NA,4.05
rep2,281,322219386,NA,4.683333333
rep2,303,706171961.8,NA,5.05
rep2,335,1401214049,NA,5.583333333
rep2,303,629988323.9,NA,5.05
rep2,335,1229095444,NA,5.583333333
