rep,Time_min,cellconc,OD600,Time_hrs
rep1,1,NA,0.041483333,0.016666667
rep2,1,NA,0.041806667,0.016666667
rep1,32,NA,0.044923333,0.533333333
rep2,32,NA,0.044266667,0.533333333
rep1,56,NA,0.0597033,0.933333333
rep2,56,NA,0.0589367,0.933333333
rep1,87,NA,0.1081133,1.45
rep2,87,NA,0.1062567,1.45
rep1,111,NA,0.1688733,1.85
rep2,112,NA,0.1754467,1.866666667
rep1,130,NA,0.2652133,2.166666667
rep2,131,NA,0.2524167,2.183333333
rep1,164,NA,0.5310333,2.733333333
rep2,165,NA,0.5206567,2.75
rep1,172,NA,0.7996,2.866666667
rep2,172,NA,0.872,2.866666667
rep1,198,NA,1.2357,3.3
rep2,198,NA,1.3148,3.3
rep1,230,NA,1.8351,3.833333333
rep2,231,NA,1.9228,3.85
rep1,260,NA,2.3772,4.333333333
rep2,261,NA,2.5571,4.35
rep1,289,NA,3.0851,4.816666667
rep2,290,NA,3.1267,4.833333333
rep1,320,NA,3.5052,5.333333333
rep2,321,NA,3.9464,5.35
rep1,453,NA,5.0665,7.55
rep2,454,NA,4.8299,7.566666667
rep1,8,65588376.8,NA,0.133333333
rep1,38,62966278.17,NA,0.633333333
rep1,66,67264256.52,NA,1.1
rep1,98,59213805.87,NA,1.633333333
rep1,129,106327975.6,NA,2.15
rep2,8,65354724.32,NA,0.133333333
rep2,38,67631710.56,NA,0.633333333
rep2,66,67178070.13,NA,1.1
rep2,98,60728495.7,NA,1.633333333
rep2,129,94336568.7,NA,2.15
rep1,163,333148914.6,NA,2.716666667
rep1,189,638519657.6,NA,3.15
rep1,218,1284909478,NA,3.633333333
rep1,250,2143408858,NA,4.166666667
rep1,279,3258917806,NA,4.65
rep1,310,3884985406,NA,5.166666667
rep2,163,308866963.3,NA,2.716666667
rep2,189,598819541.8,NA,3.15
rep2,218,1247950598,NA,3.633333333
rep2,250,2216574264,NA,4.166666667
rep2,279,3322126930,NA,4.65
rep2,310,3860297291,NA,5.166666667
