Rep,Medium,Time_min,OD600,Time_hrs,cellconc
4,GluEA,146,NA,2.433333333,719707.7084
4,GluEA,214,NA,3.566666667,5296307.856
4,GluEA,269,NA,4.483333333,22552988.58
4,GluEA,328,NA,5.466666667,182618105.6
4,GluEA,368,NA,6.133333333,409137514.5
1,GluEA,3,NA,0.05,194306.502
2,GluEA,3,NA,0.05,190894.2467
3,GluEA,3,NA,0.05,180176.1911
1,GluEA,50,NA,0.833333333,165421.737
2,GluEA,50,NA,0.833333333,123483.7051
3,GluEA,50,NA,0.833333333,157790.9569
1,GluEA,96,NA,1.6,165390.8328
2,GluEA,96,NA,1.6,155586.9934
3,GluEA,96,NA,1.6,167378.207
1,GluEA,135,NA,2.25,337647.2025
2,GluEA,135,NA,2.25,371517.3715
3,GluEA,135,NA,2.25,351543.5787
1,GluEA,249,NA,4.15,9987576.843
2,GluEA,249,NA,4.15,9476708.92
3,GluEA,249,NA,4.15,9513789.866
1,GluEA,304,NA,5.066666667,34420572.32
2,GluEA,304,NA,5.066666667,38409578.63
3,GluEA,304,NA,5.066666667,37590454.9
1,GluEA,358,NA,5.966666667,319443938.6
2,GluEA,358,NA,5.966666667,306187497.5
3,GluEA,358,NA,5.966666667,339658543.7
4,GluEA,195,0.01614,3.25,NA
4,GluEA,212,0.02431,3.533333333,NA
4,GluEA,235,0.04879,3.916666667,NA
4,GluEA,257,0.08972,4.283333333,NA
4,GluEA,268,0.11651,4.466666667,NA
4,GluEA,296,0.18924,4.933333333,NA
4,GluEA,369,0.76764,6.15,NA
4,GluEA,409,1.5962,6.816666667,NA
4,GluEA,439,1.969,7.316666667,NA
4,GluEA,494,2.0652,8.233333333,NA
1,GluEA,239,0.0439325,3.983333333,NA
2,GluEA,240,0.037905,4,NA
3,GluEA,240,0.0412525,4,NA
1,GluEA,262,0.0881325,4.366666667,NA
2,GluEA,262,0.077395,4.366666667,NA
3,GluEA,263,0.0821625,4.383333333,NA
1,GluEA,278,0.1268025,4.633333333,NA
2,GluEA,278,0.114155,4.633333333,NA
3,GluEA,278,0.1248025,4.633333333,NA
1,GluEA,298,0.2220625,4.966666667,NA
2,GluEA,298,0.202235,4.966666667,NA
3,GluEA,298,0.2024025,4.966666667,NA
1,GluEA,331,0.39179,5.516666667,NA
2,GluEA,332,0.36671,5.533333333,NA
3,GluEA,332,0.39136,5.533333333,NA
1,GluEA,350,0.6278,5.833333333,NA
2,GluEA,350,0.5533,5.833333333,NA
3,GluEA,350,0.6423,5.833333333,NA
1,GluEA,373,1.0196,6.216666667,NA
2,GluEA,373,0.8881,6.216666667,NA
3,GluEA,374,1.0221,6.233333333,NA
1,GluEA,413,1.6513,6.883333333,NA
2,GluEA,413,1.5493,6.883333333,NA
3,GluEA,413,1.6912,6.883333333,NA
1,GluEA,489,1.9917,8.15,NA
2,GluEA,489,1.8003,8.15,NA
3,GluEA,489,2.0696,8.15,NA
