"medianmass","Q1","Q3","rep","Sample","Time_hrs","Treatment"
566.009898045101,469.67536974119,695.211576542392,"rep3","Before",7,"Nonfixed"
567.143220285069,471.437744527536,696.346475230265,"rep4","Before",7,"Nonfixed"
602.553542289884,499.823806564156,732.527815523632,"rep5","Before",7,"Nonfixed"
543.997623052088,450.920497967532,670.141962477593,"rep3","After",7.5,"Nonfixed"
549.960810850155,454.568079890789,685.453357639368,"rep4","After",7.5,"Nonfixed"
578.927458002846,478.970009398993,721.793194415239,"rep5","After",7.5,"Nonfixed"
503.308057044988,416.197052962961,613.062369672097,"rep3","Fixed_T1",8,"Fixed"
515.557769591584,424.136607493892,628.682459492776,"rep4","Fixed_T1",8,"Fixed"
504.582983742474,416.617380221772,606.863894359572,"rep5","Fixed_T1",8,"Fixed"
459.228471706944,380.963204678633,559.674097893674,"rep3","Fixed_T1_1day",8.5,"Fixed"
467.542956570751,385.639670383422,560.626548879962,"rep4","Fixed_T1_1day",8.5,"Fixed"
462.227900016403,386.352051649314,553.109428751433,"rep5","Fixed_T1_1day",8.5,"Fixed"
456.684911580318,381.328273427142,560.503793114925,"rep3","Fixed_T1_6day",9,"Fixed"
475.91121205234,391.995817898344,571.498561034003,"rep4","Fixed_T1_6day",9,"Fixed"
469.609374349367,389.365953502491,574.162350969212,"rep5","Fixed_T1_6day",9,"Fixed"
