"medianmass","Q1","Q3","rep","Sample","Time_hrs","Treatment"
490.79616894107,398.826346269218,615.067366004536,"rep3","Before",7,"Nonfixed"
481.761594219906,398.090731199585,611.020512312656,"rep4","Before",7,"Nonfixed"
502.269863244582,421.553201001487,611.803280658336,"rep5","Before",7,"Nonfixed"
510.436445100163,417.771788701908,624.003222870191,"rep3","After",7.5,"Nonfixed"
498.970205466917,414.335153459433,620.90347477712,"rep4","After",7.5,"Nonfixed"
530.242492097919,446.236755201269,641.898464739605,"rep5","After",7.5,"Nonfixed"
456.7426476,379.9210972,563.8785933,"rep3","Fixed",8,"Fixed"
435.560953,366.1383635,546.4155068,"rep4","Fixed",8,"Fixed"
451.3434776,372.7534201,557.2997003,"rep5","Fixed",8,"Fixed"
457.571555692805,373.640274492808,579.043094639144,"rep3","Fixed_3day",8.5,"Fixed"
444.934564920914,371.654383925645,568.25977932586,"rep4","Fixed_3day",8.5,"Fixed"
445.83669783935,369.429790139802,560.934254910951,"rep5","Fixed_3day",8.5,"Fixed"
460.512471670035,376.629606136138,590.913396212477,"rep3","Fixed_11day",9,"Fixed"
448.872445441056,375.936180409302,566.659288287987,"rep4","Fixed_11day",9,"Fixed"
456.027516335843,376.075703946079,587.436479882807,"rep5","Fixed_11day",9,"Fixed"
